date,value,ret
11/27/1990,1415.300049,-1.952127899460306
11/28/1990,1420.599976,0.3737743308011748
11/29/1990,1418.900024,-0.11973602416606446
11/30/1990,1441.199951,1.5594125446713893
12/03/1990,1462.599976,1.473959155322355
12/04/1990,1446.300049,-1.1207052468475802
12/05/1990,1471.,1.693383664219719
12/06/1990,1504.699951,2.265106859876358
12/07/1990,1512.800049,0.5368760534315757
12/10/1990,1504.800049,-0.5302239185230049
12/11/1990,1492.699951,-0.8073503736515162
12/12/1990,1517.199951,1.627997070563636
12/13/1990,1517.800049,0.039545173497212566
12/14/1990,1522.400024,0.30261024931415553
12/17/1990,1475.900024,-3.102006329752743
12/18/1990,1477.400024,0.10158128903971662
12/19/1990,1457.199951,-1.376704983111556
12/20/1990,1409.300049,-3.3423590541776926
12/21/1990,1414.900024,0.3965712197736991
12/27/1990,1410.900024,-0.2831058534705226
12/28/1990,1398.199951,-0.9042155596704555
01/02/1991,1366.099976,-2.322571270764496
01/03/1991,1366.699951,0.043909179278888336
01/04/1991,1396.099976,2.128357868588637
01/07/1991,1358.199951,-2.7522360201327043
01/08/1991,1354.,-0.3097083130309192
01/09/1991,1375.199951,1.5535964965237796
01/10/1991,1383.400024,0.5945115077587797
01/11/1991,1382.300049,-0.07954405965687343
01/14/1991,1327.800049,-4.02253397302706
01/15/1991,1325.599976,-0.16583051808624236
01/16/1991,1322.699951,-0.21901040207803063
01/17/1991,1422.699951,7.288137522900222
01/18/1991,1405.099976,-1.2447982683906438
01/21/1991,1390.199951,-1.0660871112001649
01/22/1991,1375.099976,-1.0921148144035135
01/23/1991,1358.800049,-1.1924444927964095
01/24/1991,1375.199951,1.1997146089799327
01/25/1991,1382.099976,0.5004924807643277
01/28/1991,1382.699951,0.043400971155905486
01/29/1991,1380.300049,-0.1737171627599276
01/30/1991,1400.699951,1.467117433343073
01/31/1991,1420.099976,1.3755198088257106
02/01/1991,1426.5,0.4496616902805822
02/04/1991,1435.,0.5940957540166832
02/05/1991,1438.900024,0.271410025505827
02/06/1991,1428.699951,-0.7114043874580995
02/07/1991,1436.300049,0.5305490979013329
02/08/1991,1467.800049,2.1694317941044727
02/11/1991,1488.699951,1.4138508474131015
02/12/1991,1468.900024,-1.3389385292261688
02/13/1991,1489.400024,1.385953271429047
